vOTU_header,header_notes,includedinPEONY,num_vOTUs_original,num_vOTUs_PEONY,num_vOTUsPIGEON3,habitat,habitat_sub1,habitat_notes,EmersonLab_data,addedinPIGEONversion,published,title,authors,year_pub,DOI,notes_origins,facility_location,city_county_location,state,country,latitude,longitude
emerson2018_,na,yes,404,277,277,Peat,Peat,na,yes,1,yes,Host-linked soil viral ecology along a permafrost thaw gradient,"Emerson, J.B., Roux, S., Brum, J.R. et al. ",2018,https://doi.org/10.1038/s41564-018-0190-y,na,Stordalen Mire,na,na,Sweden,68.35,19.05
SPRUCE,na,yes,4921,3979,3978,Peat,Peat,na,yes,1,yes,Minnesota peat viromes reveal terrestrial and aquatic niche partitioning for local and global viral populations,"Ter Horst AM, Santos-Medellín C, Sorensen JW, Zinke LA, Wilson RM, Johnston ER, Trubl G, Pett-Ridge J, Blazewicz SJ, Hanson PJ, Chanton JP, Schadt CW, Kostka JE, Emerson JB.",2021,10.1186/s40168-021-01156-0,na,SPRUCE,Grand Rapids,MN,USA,47.500132,-93.450038
roux2019,na,yes,8510,8474,8474,Other,Other,na,no,1,yes,Optimizing de novo genome assembly from PCR-amplified metagenomes,"Roux S, Trubl G, Goudeau D, Nath N, Couradeau E, Ahlgren NA, Zhan Y, Marsan D, Chen F, Fuhrman JA, Northen TR, Sullivan MB, Rich VI, Malmstrom RR, Eloe-Fadrosh EA. ",2019,10.7717/peerj.6902,"multiple locations, not sure where this one is from  roux2019_P_Mid_2017_NODE_145_length_103445_cov_5_630585",na,na,na,na,na,na
trubl2018_,na,yes,40,40,40,Peat,Peat,na,no,1,yes,Soil Viruses Are Underexplored Players in Ecosystem Carbon Processing,"Trubl G, Jang HB, Roux S, Emerson JB, Solonenko N, Vik DR, Solden L, Ellenbogen J, Runyon AT, Bolduc B, Woodcroft BJ, Saleska SR, Tyson GW, Wrighton KC, Sullivan MB, Rich VI. ",2018,10.1128/mSystems.00076-18,na,Stordalen Mire,na,na,Sweden,68.35,19.05
trubl2019,na,yes,255,254,254,Peat,Peat,na,no,1,yes,﻿Towards optimized viral metagenomes for double-stranded and single-stranded DNA viruses from challenging soils,"Trubl G, Roux S, Solonenko N, Li YF, Bolduc B, Rodríguez-Ramos J, Eloe-Fadrosh EA, Rich VI, Sullivan MB. ",2019,10.7717/peerj.7265,na,Stordalen Mire,na,na,Sweden,68.35,19.05
almond_CA_BU_ESCV,na,yes,4202,4136,4136,Soil,Agricultural,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,EmersonLab_terHorst_Geonczy,Escalon,Escalon,CA,USA,37.8128,-120.93625
almond_CA_BU_MACV,na,yes,9111,8930,8931,Soil,Agricultural,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,EmersonLab_terHorst_Geonczy,Madera county,Madera county,CA,USA,37.13185,-120.1159667
almond_CA_BU_MAV,na,yes,4214,3978,3979,Soil,Agricultural,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,EmersonLab_terHorst_Geonczy,Madera county,Madera county,CA,USA,37.13185,-120.1159667
almond_CA_BU_WLV,na,yes,4762,4618,4615,Soil,Agricultural,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,EmersonLab_terHorst_Geonczy,Woodland,Woodland,CA,USA,38.58606667,-121.8890833
almond_CA_RHIZ_ESCV,na,yes,5048,4978,4978,Soil,Rhizosphere,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,EmersonLab_terHorst_Geonczy,Escalon,Escalon,CA,USA,37.80913333,-120.9363167
almond_CA_RHIZ_MACV,na,yes,6902,6493,6491,Soil,Rhizosphere,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,EmersonLab_terHorst_Geonczy,Madera county,Madera county,CA,USA,37.13153333,-120.1159
almond_CA_RHIZ_MAV,na,yes,3121,2835,2833,Soil,Rhizosphere,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,EmersonLab_terHorst_Geonczy,Madera county,Madera county,CA,USA,37.13153333,-120.1159
almond_CA_RHIZ_WLV,na,yes,2824,2740,2741,Soil,Rhizosphere,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,EmersonLab_terHorst_Geonczy,Woodland,Woodland,CA,USA,38.58606667,-121.8890833
BB_2021_,na,yes,12658,11375,11378,Soil,Wetland,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,na,Bodega Bay_BodegaMarineReserve,na,CA,USA,38.31898333,-123.05735
biochar_,na,yes,3645,2368,2368,Soil,Agricultural,na,yes,2,yes,Viromes outperform total metagenomes in revealing the spatiotemporal patterns of agricultural soil viral communities,"Santos-Medellin, C., Zinke, L.A., ter Horst, A.M. ",2021,https://doi.org/10.1038/s41396-021-00897-y,na,Campbell tract, Davis,CA,USA,38.53571,-121.77269
BU_ALM,na,yes,7718,7081,7081,Soil,Agricultural,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,test on almond roots to see if vOTU extraction possible,UC Davis Armstrong Plant Pathology Research Field, Davis,CA,USA,38.522309,-121.759999
Hopland_2021_Santos,na,yes,6085,5551,5550,Soil,Grassland,na,yes,2,yes,Spatial turnover of soil viral populations and genotypes overlain by cohesive responses to moisture in Grasslands,"Christian Santos-Medellín, Katerina Estera-Molina, Mengting Yuan, Jennifer Pett-Ridge, Mary K. Firestone, and Joanne B. Emerson",2022,https://doi.org/10.1073/pnas.2209132119,na,Hopland Research and Extension Center, Buck Field,CA,USA,39.004056,-123.085861
natural_reserves_2019_BB,na,yes,2406,2379,2378,Soil,Wetland,na,yes,2,yes,Substantial differences in soil viral community composition within and among four Northern California habitats,"Durham, D.M., Sieradzki, E.T., ter Horst, A.M. et al. ",2022,https://doi.org/10.1038/s43705-022-00171-y,na,Bodega Bay_BodegaMarineReserve, CA,CA,USA,38.31898333,-123.05735
natural_reserves_2019_McL,na,yes,772,479,479,Soil,Forest,na,yes,2,yes,Substantial differences in soil viral community composition within and among four Northern California habitats,"Durham, D.M., Sieradzki, E.T., ter Horst, A.M. et al. ",2022,https://doi.org/10.1038/s43705-022-00171-y,na,McLaughlin Natural Reserve, CA,CA,USA,38.87113845,-122.4239017
natural_reserves_2019_QR,na,yes,207,8,8,Soil,Grassland,na,yes,2,yes,Substantial differences in soil viral community composition within and among four Northern California habitats,"Durham, D.M., Sieradzki, E.T., ter Horst, A.M. et al. ",2022,https://doi.org/10.1038/s43705-022-00171-y,na,Quail Ridge Natural Reserve, CA,CA,USA,38.47791073,-122.1458731
natural_reserves_2019_SCC,na,yes,29,24,24,Soil,Chaparral,na,yes,2,yes,Substantial differences in soil viral community composition within and among four Northern California habitats,"Durham, D.M., Sieradzki, E.T., ter Horst, A.M. et al. ",2022,https://doi.org/10.1038/s43705-022-00171-y,na,Stebbins cold canyon, CA,CA,USA,38.50974458,-122.0969695
natural_reserves_2019_JP,na,yes,302,290,291,Soil,Grassland,na,yes,2,yes,Substantial differences in soil viral community composition within and among four Northern California habitats,"Durham, D.M., Sieradzki, E.T., ter Horst, A.M. et al. ",2022,https://doi.org/10.1038/s43705-022-00171-y,na,Jepson Prairie Reserve,na,CA,USA,38.26343594,-121.8258657
RHIZ_ALM,na,yes,20852,18351,18349,Soil,Rhizosphere,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,test on almond roots to see if vOTU extraction possible,Armstrong field, Davis,CA,USA,38.522309,-121.759999
RR_2018_,na,yes,6215,5243,5241,Soil,Agricultural,na,yes,2,yes,Soil pH influences the structure of virus communities at local and global scales,"Sungeun Lee, Jackson W. Sorensen, Robin L. Walker, Joanne B. Emerson, Graeme W. Nicol, Christina Hazard ",2022,https://doi.org/10.1016/j.soilbio.2022.108569,na,Russell Ranch, Davis,CA,USA,38.542395,-121.872207
RR_6_8_frac,na,yes,15624,13039,13035,Soil,Agricultural,na,yes,2,yes,"Dispersal, habitat filtering, and eco-evolutionary dynamics as drivers of local and global wetland viral biogeography, PIGEON2.0","Anneliek M Ter Horst, Jane D Fudyma, Jacqueline L Sones, Joanne B Emerson",2023,10.1038/s41396-023-01516-8,size fractionated soil? saw email thread a long long time ago.. ,Russell Ranch, Davis,CA,USA,38.542395,-121.872207
RR_tom_rhizo_2021,na,yes,50784,937,939,Soil,Agricultural,na,yes,2,yes,"Host community activity, but not always composition, explains viral biogeography in bulk and rhizosphere soils over a tomato growing season","Lucie Stern & Anneliek M. ter Horst, Konner E. Simpson-Johnson, Amélie C.M. Gaudin1, Joanne B. Emerson",2026,https://doi.org/10.64898/2026.03.24.714046,na,Russell Ranch, Davis,CA,USA,38.542395,-121.872207
coutinho_2020,na,yes,55261,40899,40883,Aquatic,Freshwater,na,no,2,yes,New viral biogeochemical roles revealed through metagenomic analysis of Lake Baikal,"Coutinho FH, Cabello-Yeves PJ, Gonzalez-Serrano R, Rosselli R, López-Pérez M, Zemskaya TI, Zakharenko AS, Ivanov VG, Rodriguez-Valera F. ",2020, 10.1186/s40168-020-00936-4,na,Lake Baikal,na,na,Russia,52.97895468,107.3981866
vik_2020,na,yes,16543,16128,14982,Aquatic,Marine,na,no,2,yes,Genome-resolved viral ecology in a marine oxygenminimum zone,"Vik D, Gazitúa MC, Sun CL, Zayed AA, Aldunate M, Mulholland MR, Ulloa O, Sullivan MB.",2021,10.1111/1462-2920.15313,na,Peruvian coast,na,na,Int.Wat.,-12.200185,-77.923276
myriam_2020,na,yes,3567,3526,3521,Aquatic,Freshwater,na,no,2,yes,Extreme Viral Partitioning in a Marine-Derived High Arctic Lake,"Labbé M,Girard C,Vincent WF, Culley AI ",2020,https://doi.org/10.1128/msphere.00334-20,na,Ellesmere Island, Canadian High Arctic,na,CAN,82.596679,-75.266029
Sorensen2021,na,yes,2323,855,857,Soil,Agricultural,na,no,2,yes,DNase Treatment Improves Viral Enrichment in Agricultural Soil Viromes,"Sorensen JW, Zinke LA, Ter Horst AM, Santos-Medellín C, Schroeder A, Emerson JB. DNase Treatment Improves Viral Enrichment in Agricultural Soil Viromes.",2021,10.1128/mSystems.00614-21,na,Campbell tract, Davis,CA,USA,38.53571,-121.77269
tomato_rhizo_GH,na,yes,2607,2557,2557,Soil,Rhizosphere,microcosm,no,2,no,na,na,na,na,"no location, test in greenhouse, test to see if vOTU extraction from tomato roots was possible",UCD Greenhouses,Davis,CA,USA,38.540366,-121.761637
fudyma2025_wateryear_A,na,yes,10696,10637,10638,Soil,Grassland,na,yes,3,yes,Spatial and depth structuring predominate over temporal variation in Mediterranean Grassland soil viral communities,"Jane D. Fudyma, Petar Penev, Katerina Estera-Molina, Jordan Hoff, Steven J. Blazewicz, Jennifer Pett-Ridge, Joanne B. Emerson",2025,https://doi.org/10.64898/2025.12.30.696869,na,Angelo Coast Range Reserve,na,CA,USA,39.727995, −123.645758
fudyma2025_wateryear_H,na,yes,12029,11763,11763,Soil,Grassland,na,yes,3,yes,Spatial and depth structuring predominate over temporal variation in Mediterranean Grassland soil viral communities,"Jane D. Fudyma, Petar Penev, Katerina Estera-Molina, Jordan Hoff, Steven J. Blazewicz, Jennifer Pett-Ridge, Joanne B. Emerson",2025,https://doi.org/10.64898/2025.12.30.696869,na,Hopland Research and Extension Center, Buck Field,CA,USA,39.00178,−123.0682
SM2023_wetup_WUA,na,yes,5586,5491,5491,Soil,Grassland,na,yes,3,yes,Viral but not bacterial community successional patterns reflect extreme turnover shortly after rewetting dry soils,"Santos-Medellín, C., Blazewicz, S.J., Pett-Ridge, J. et al.",2023,https://doi.org/10.1038/s41559-023-02207-5,na,Angelo Coast Range Reserve,na,CA,USA,39.727995, −123.645758
SM2023_wetup_WUB,na,yes,6673,6328,6328,Soil,Grassland,na,yes,3,yes,Viral but not bacterial community successional patterns reflect extreme turnover shortly after rewetting dry soils,"Santos-Medellín, C., Blazewicz, S.J., Pett-Ridge, J. et al.",2023,https://doi.org/10.1038/s41559-023-02207-5,na,McLaughlin Natural Reserve,na,CA,USA,38.87113845,-122.4239017
fudyma24_bufferchem_AN,na,yes,4963,4930,4930,Soil,Grassland,na,yes,3,yes,"Exploring viral particle, soil, and extraction buffer physicochemical characteristics and their impacts on extractable viral communities","Jane D. Fudyma, Anneliek M. ter Horst, Christian Santos-Medellín, Jess W. Sorensen, Grant G. Gogul, Luke S. Hillary, Sara E. Geonczy, Jennifer Pett-Ridge, Joanne B. Emerson",2024,https://doi.org/10.1016/j.soilbio.2024.109419,na,Angelo Coast Range Reserve,na,CA,USA,39.727995, −123.645758
fudyma24_bufferchem_BB,"includes  487 vOTUS from SM_GW, PB_GW, GL_GC,CB_GC headers. Buffer tests from BB soil.",yes,4379,4198,4199,Soil,Wetland,na,yes,3,yes,"Exploring viral particle, soil, and extraction buffer physicochemical characteristics and their impacts on extractable viral communities","Jane D. Fudyma, Anneliek M. ter Horst, Christian Santos-Medellín, Jess W. Sorensen, Grant G. Gogul, Luke S. Hillary, Sara E. Geonczy, Jennifer Pett-Ridge, Joanne B. Emerson",2024,https://doi.org/10.1016/j.soilbio.2024.109419,"also bufferchem_PB, bufferchem_CB, bufferchem_SM, bufferchem_GL vOTUs. All were done in Bodega Bay soil",Bodega Bay_BodegaMarineReserve,na,CA,USA,38.31898333,-123.05735
fudyma24_bufferchem_ML,na,yes,3719,3341,3340,Soil,Forest,na,yes,3,yes,"Exploring viral particle, soil, and extraction buffer physicochemical characteristics and their impacts on extractable viral communities","Jane D. Fudyma, Anneliek M. ter Horst, Christian Santos-Medellín, Jess W. Sorensen, Grant G. Gogul, Luke S. Hillary, Sara E. Geonczy, Jennifer Pett-Ridge, Joanne B. Emerson",2024,https://doi.org/10.1016/j.soilbio.2024.109419,na,McLaughlin Natural Reserve,na,CA,USA,38.87113845,-122.4239017
